email,password,nickname,birthDate,pointBalance,provider,providerId,isDeleted,roles
pageon1@mail.com,-pageon123,기쁜하마,2008-04-04,0,EMAIL,,FALSE,ROLE_USER
pageon2@mail.com,-pageon123,용감한수달,1982-08-12,0,EMAIL,,FALSE,ROLE_USER
pageon3@mail.com,-pageon123,상냥한수달,1983-12-03,0,EMAIL,,FALSE,ROLE_USER
pageon4@mail.com,-pageon123,신나는늑대,2007-02-22,0,EMAIL,,FALSE,ROLE_USER
pageon5@mail.com,-pageon123,평온한사슴,1985-06-23,0,EMAIL,,FALSE,ROLE_USER
pageon6@mail.com,-pageon123,용감한사슴,2009-08-07,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon7@mail.com,-pageon123,기쁜늑대,2004-03-27,0,EMAIL,,FALSE,ROLE_USER
pageon8@mail.com,-pageon123,상냥한여우,1987-12-10,0,EMAIL,,FALSE,ROLE_USER
pageon9@mail.com,-pageon123,기쁜사슴,1982-01-14,0,EMAIL,,FALSE,ROLE_USER
pageon10@mail.com,-pageon123,평온한고양이,2008-04-19,0,EMAIL,,FALSE,ROLE_USER
pageon11@mail.com,-pageon123,상냥한사슴,2000-01-09,0,EMAIL,,FALSE,ROLE_USER
pageon12@mail.com,-pageon123,상냥한고양이,2002-01-28,0,EMAIL,,FALSE,ROLE_USER
pageon13@mail.com,-pageon123,상냥한부엉이,2011-06-18,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon14@mail.com,-pageon123,신나는여우,1998-09-03,0,EMAIL,,FALSE,ROLE_USER
pageon15@mail.com,-pageon123,기쁜매,2000-12-26,0,EMAIL,,FALSE,ROLE_USER
pageon16@mail.com,-pageon123,신나는사자,2003-08-28,0,EMAIL,,FALSE,ROLE_USER
pageon17@mail.com,-pageon123,기쁜토끼,1983-01-06,0,EMAIL,,FALSE,ROLE_USER
pageon18@mail.com,-pageon123,용감한호랑이,1981-05-28,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon19@mail.com,-pageon123,평온한코끼리,1984-09-24,0,EMAIL,,FALSE,ROLE_USER
pageon20@mail.com,-pageon123,기쁜고양이,2002-02-07,0,EMAIL,,FALSE,ROLE_USER
pageon21@mail.com,-pageon123,신나는매,1986-11-29,0,EMAIL,,FALSE,ROLE_USER
pageon22@mail.com,-pageon123,기쁜돌고래,2001-02-16,0,EMAIL,,FALSE,ROLE_USER
pageon23@mail.com,-pageon123,평온한호랑이,2008-09-27,0,EMAIL,,FALSE,ROLE_USER
pageon24@mail.com,-pageon123,평온한돼지,2000-02-04,0,EMAIL,,FALSE,ROLE_USER
pageon25@mail.com,-pageon123,기쁜펭귄,1984-07-27,0,EMAIL,,FALSE,ROLE_USER
pageon26@mail.com,-pageon123,신나는곰,1993-10-22,0,EMAIL,,FALSE,ROLE_USER
pageon27@mail.com,-pageon123,평온한매,1983-08-12,0,EMAIL,,FALSE,ROLE_USER
pageon28@mail.com,-pageon123,신나는펭귄,1993-02-02,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon29@mail.com,-pageon123,신나는다람쥐,2008-11-13,0,EMAIL,,FALSE,ROLE_USER
pageon30@mail.com,-pageon123,용감한하마,1984-06-12,0,EMAIL,,FALSE,ROLE_USER
pageon31@mail.com,-pageon123,용감한여우,1981-09-26,0,EMAIL,,FALSE,ROLE_USER
pageon32@mail.com,-pageon123,기쁜캥거루,2001-02-05,0,EMAIL,,FALSE,ROLE_USER
pageon33@mail.com,-pageon123,용감한다람쥐,1981-03-26,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon34@mail.com,-pageon123,평온한독수리,1987-02-13,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon35@mail.com,-pageon123,평온한부엉이,1986-10-16,0,EMAIL,,FALSE,ROLE_USER
pageon36@mail.com,-pageon123,용감한토끼,2004-12-06,0,EMAIL,,FALSE,ROLE_USER
pageon37@mail.com,-pageon123,평온한사자,1984-09-17,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon38@mail.com,-pageon123,상냥한코끼리,1996-10-20,0,EMAIL,,FALSE,ROLE_USER
pageon39@mail.com,-pageon123,기쁜호랑이,1987-08-30,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon40@mail.com,-pageon123,용감한고양이,2005-03-28,0,EMAIL,,FALSE,ROLE_USER
pageon41@mail.com,-pageon123,상냥한다람쥐,2007-09-29,0,EMAIL,,FALSE,ROLE_USER
pageon42@mail.com,-pageon123,평온한고래,1982-07-30,0,EMAIL,,FALSE,ROLE_USER
pageon43@mail.com,-pageon123,신나는하마,2003-08-12,0,EMAIL,,FALSE,ROLE_USER
pageon44@mail.com,-pageon123,용감한강아지,1981-04-10,0,EMAIL,,FALSE,ROLE_USER
pageon45@mail.com,-pageon123,신나는돼지,1999-01-06,0,EMAIL,,FALSE,ROLE_USER
pageon46@mail.com,-pageon123,기쁜사자,1994-12-24,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon47@mail.com,-pageon123,기쁜곰,2001-08-12,0,EMAIL,,FALSE,ROLE_USER
pageon48@mail.com,-pageon123,상냥한독수리,1983-12-14,0,EMAIL,,FALSE,ROLE_USER
pageon49@mail.com,-pageon123,상냥한사자,2008-12-09,0,EMAIL,,FALSE,ROLE_USER
pageon50@mail.com,-pageon123,신나는수달,1989-05-05,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon51@mail.com,-pageon123,상냥한하마,1982-11-17,0,EMAIL,,FALSE,ROLE_USER
pageon52@mail.com,-pageon123,평온한다람쥐,1988-01-05,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon53@mail.com,-pageon123,기쁜돼지,1982-12-12,0,EMAIL,,FALSE,ROLE_USER
pageon54@mail.com,-pageon123,용감한돼지,2002-07-05,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon55@mail.com,-pageon123,기쁜판다,1990-09-28,0,EMAIL,,FALSE,ROLE_USER
pageon56@mail.com,-pageon123,신나는캥거루,1992-06-01,0,EMAIL,,FALSE,ROLE_USER
pageon57@mail.com,-pageon123,상냥한펭귄,1995-05-03,0,EMAIL,,FALSE,ROLE_USER
pageon58@mail.com,-pageon123,기쁜코끼리,1986-08-19,0,EMAIL,,FALSE,ROLE_USER
pageon59@mail.com,-pageon123,상냥한토끼,1982-07-29,0,EMAIL,,FALSE,ROLE_USER
pageon60@mail.com,-pageon123,용감한독수리,1997-08-19,0,EMAIL,,FALSE,ROLE_USER
pageon61@mail.com,-pageon123,신나는코끼리,1996-05-23,0,EMAIL,,FALSE,ROLE_USER
pageon62@mail.com,-pageon123,신나는독수리,1981-11-02,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon63@mail.com,-pageon123,용감한고래,2000-10-16,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon64@mail.com,-pageon123,상냥한돼지,1983-12-07,0,EMAIL,,FALSE,ROLE_USER
pageon65@mail.com,-pageon123,평온한돌고래,2004-04-16,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon66@mail.com,-pageon123,기쁜강아지,1993-10-23,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon67@mail.com,-pageon123,평온한여우,1987-04-13,0,EMAIL,,FALSE,ROLE_USER
pageon68@mail.com,-pageon123,평온한캥거루,1989-05-07,0,EMAIL,,FALSE,ROLE_USER
pageon69@mail.com,-pageon123,상냥한매,1992-09-11,0,EMAIL,,FALSE,ROLE_USER
pageon70@mail.com,-pageon123,평온한펭귄,2011-04-09,0,EMAIL,,FALSE,ROLE_USER
pageon71@mail.com,-pageon123,신나는호랑이,2005-05-22,0,EMAIL,,FALSE,ROLE_USER
pageon72@mail.com,-pageon123,상냥한강아지,1996-06-30,0,EMAIL,,FALSE,ROLE_USER
pageon73@mail.com,-pageon123,용감한판다,2009-01-08,0,EMAIL,,FALSE,ROLE_USER
pageon74@mail.com,-pageon123,기쁜수달,2011-03-14,0,EMAIL,,FALSE,ROLE_USER
pageon75@mail.com,-pageon123,신나는강아지,1999-11-19,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon76@mail.com,-pageon123,신나는토끼,1986-04-06,0,EMAIL,,FALSE,ROLE_USER
